text_object,containsMention_category,weekday_category
"talent everyone stream<u+fd><u+fd>",0,5
"rt a huge thanks to for donating a logitech g pro wireless op limited edition to give away during the …",1,5
"rt which one will u pick<u+f> both <u+f> singtoprachaya <u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+ea><u+e><u+eb><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+ed><u+e><u+eb><u+e><u+e><u+e><u+ea><u+ec> <u+ea><u+e><u+e><u+e><u+e><u+e><u+e><u+e><u+eb><u+e><u+e> maya th ht…",1,5
"rt <u+d><u+d><u+de><u+d><u+de><u+d><u+d><u+d> <u+d><u+dd><u+dd> <u+d><u+d><u+d> <u+d><u+d><u+da><u+df><u+d><u+d> <u+d><u+d> <u+d><u+d><u+df><u+d><u+d><u+d> <u+de><u+d><u+d> <u+d><u+dd><u+dd> <u+d><u+d><u+d> <u+de><u+d><u+de><u+d><u+d><u+da><u+d><u+d> <u+d><u+d><u+d><u+da><u+d><u+d> <u+d><u+d><u+d><u+df><u+d><u+d><u+d> <u+d><u+d> <u+d><u+d><u+d><u+d> <u+d><u+dd><u+d><u+d><u+da><u+d> <u+de><u+d><u+d><u+df><u+d> <u+d><u+d> <u+d><u+d><u+da> <u+d><u+d><u+d><u+d><u+d><u+da><u+d>",1,5
"rt today is different than yesterday ladylogic ladyfractal anonymous hivemind thegame q",1,5
"rt trump used $ meant for coronavirus education to help his re election ffs vote biden seriously",1,5
"wheres the fukin bonk hammer",1,5
"im proud of u",1,5
"i voted ",1,5
"rt this and shoot it up ",1,5
"rt respondan este tweet con sus canciones favoritas de wings im voting for bts for favorite social artist at the amas …",1,5
"text me babes",1,5
"set him up while you’re at it <u+f>",1,5
"root beer yes other flavors can be considered an act of aggression",1,5
" nope that’s a compliment means your girl looks good",1,5
"<u+f><u+f><u+f> why is it i can hear the voices saying it while reading it",1,5
"microsoft roadmap update rolling out forms new forms start page ",0,5
"so what if what if to implicate schlatts mutton chops into his persona artists give him fluffy cheeks????",0,5
"discord is the best <u+fc>",1,5
"oke de",1,5
"j it’s a dinosaur cut him some slack<u+f>",1,5
"the fact that this man who is the complete antithesis of jesus’s teachings gets a huge applause line from this pe…",0,5
"yikes bruh happens to be a grown ass man dedicating his entire twitter account as a fictional charac…",1,5
"why am i watching hereditary again fucj me",0,5
"rt this how coach reacted after that one hand catch in practice<u+f><u+f><u+f><u+fc><u+f> comedy nfl ravensflock happyfriday…",1,5
"business is business so u gotta pay me",1,5
"rt rams will kickoff",1,5
"v is probably the best guy i know hes % the only human being that has not let me down hes rarely around bu…",0,5
"errani vs kostyuk too omfg i will watch that one cuz the iconnery",0,5
"global news",1,5
"rt mama’s fan choice awards mamavote blackpink",1,5
"rt see these traffic lights gotta come on long car hoes it’s my turn ",1,5
"rt ass fat head empty",1,5
"rt i never hated not time",1,5
"no i like the bad quality",1,5
"rt bts trans [article] bts will show the stage of the new album title track life goes on at the amas usa for th…",1,5
"rt namjoon’s outfits man",1,5
"partychris you would think i have lost a lot of faith in the medical field over the past months",1,5
"rt aspencer covid is the rd leading cause of death in the united states",1,5
"really ? another order arrives in a crushed box with damaged merchandise this happens out of shipm…",1,5
"reduced bottom line knowledge user",0,5
"it hurted moi",1,5
"when lockdown is on the table and you only have macca green and loan players on the books",0,5
"houit an",0,5
"rt @arthurdent goya one week ""pro life"" the next shes the kim kardashian of politics",1,5
"rt rt to vote bts twt for favorite social artist at the amas <u+fc>",1,5
"rt biden in minnesota ""the president of the united states is accusing the medical profession of making up covid deaths so t…",1,5
"happy halloween eve <u+fe><u+fe><u+f>",0,5
"rt new pcs what will they do <u+f> dimension theunsleepingcity",1,5
"omfg you look so good",1,5
"rt bra<u+f><u+f><u+f><u+f><u+f><u+f> the fuckin accuracy",1,5
"rt i am soo distraught after watching this <u+f><u+f><u+f><u+f> this piece of shit address needs to be posted protectblackwomen",1,5
"lolol oh damn",0,5
"rt @gabrielpicolo this is the year i came out as asexual to my parents so i bought new kicks to celebrate ace week",1,5
"joy probably libertarian stupid",1,5
"great photos dont those right wingers in the last panel have a trump rally they can go to?",1,5
"rt wy halftime rock springs sheridan ",1,5
"sensitivity of most of these are high ’s and specificity false positive rate are al…",1,5
"bar may and i can remember heathheath<u+fc>",1,5
"ariana best girl wtff<u+fa><u+fa><u+fa><u+fa>",0,5
" that is where my despondency is coming from",1,5
"rt jimmerson halloween fun in hr <u+f><u+fb>",1,5
"rt hey everyone i am afraid i am going to get kicked out from my place for not having enough money for rent i dont make…",1,5
"mr president thank you for tweeting this i had previously thought you were a terrible shit bag…",1,5
"rt black and latino voters are not turning out for joe biden as president gains support<u+c><u+fef> <u+c> joe destroyed…",1,5
"rt trump did not do his happy dance tonight because he was so pissed with the minnesota governor and ag walked straight to…",1,5
"<u+f><u+f><u+f><u+f>i bloody wish",1,5
"baffling to me there isnt a single hafl serious scientist in his staff to dare tell him about the act…",1,5
"yessir",1,5
"not the yarn thooo",0,5
"our first too spooky stream letsplay horror youtubegaming",0,5
"matthewlillard death scene in scream i actually forgot the tv but horror rules no confirmed death not like the d…",0,5
"rt seungmin and hyunjin congratulating changbin after he went on koms and smtm saying that changbin did great and theyre so…",1,5
"at a steak house drunk off sake <u+f>",0,5
"rt trump in minnesota a speech the democrats tried to stop a speech to remember",1,5
"rt rememberthe root is a white funded site that has a history of publishing white zaddy worshiping articles",1,5
" the real conclusion that russia is in for it is announced by the prophetic holy fool and there you see a re…",0,5
"no one believes you",1,5
"okie u too hv a nice day ahead &lt",1,5
"rt tash if you are going to leave young children unsupervised you are responsible for removing all items you wouldn’t want to…",1,5
"rt another seen at obiri ikwerre junction <u+f> more locations loading to sponsor more of these banners please send a dm…",1,5
"this planet is disgusting so many germs even our <u+><u+b>a<u+> <u+>a<u+f> is not enough to stop it <u+f><u+f><u+f>",1,5
"walking in the wind hits different rn",0,5
"that’s the only type of relationship worth having in life <u+fa>",1,5
"rt mediahub love not war peace not pain <u+> syria",1,5
"rt faked it",1,5
"definitely saved me working out and staying active in my own environment saved me completely",1,5
"yeah cause they are ",1,5
"rt @yungbleu watch how they move after you tell them no once <u+ff>",1,5
"rt @ayinahs i be holding so much in one day yall gone think i done went crazy ",1,5
"@soullessfreak she shook her head",1,5
"rt what the hellthis is beyond unbelievable everyone is complicit in this blatant fakery thats not his wife…",1,5
"goodnight",1,5
"""switchin the positions for u"" <u+c><u+dd><u+dfb><u+df><u+dea><u+df><u+dea> <u+dd><u+dfb><u+dea><u+df><u+ded><u+dee><u+d>",0,5
"mood<u+fd><u+c><u+ffb>",1,5
"happy birthday rashy love you from my heart hope you respond <u+><u+fef><u+><u+fef><u+><u+fef><u+><u+fef><u+><u+fef><u+><u+fef><u+f><u+f><u+f><u+f>",1,5
"leave them two of my most memorable edh experiences were seeing a candelabra of tawnos and a timet…",1,5
"we would like to announce that amen’s is under new management the current owners of south street liquor are now al…",0,5
"microsoft roadmap update rolling out microsoft teams spotlight an individual video participant for all atte…",0,5
"i be peace with war inner",1,5
"yea hold on",1,5
"rt new video as progressives we need to think strategically we need to do everything we can to get biden elected at i…",1,5
"trump will win in november are almost even at to compared with to for a democrat generally it…",1,5
"official congratulations to all top most requested <u+ff><u+ff><u+ff><u+ff><u+ff><u+><u+fef><u+><u+fef><u+><u+fef><u+><u+fef><u+><u+fef><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f><u+f>",1,5
"rt the streets of warsaw tonight night after night following a court ruling that amounts to a near total ban on abortion sol…",1,5
"w i’m the exact same way deejay always gets on to me about it <u+f>",1,5
"rt network over register for technion’s first quantum computing summer school read more",1,5
"rt protesters in thailand staged a ""peoples runway"" fashion show on a major road to mock the royal family and a princess new fas…",1,5
"both gtfu",0,5
"rt enhypen border day one concept photo dusk ver <u+dc><u+cb> heeseung borderdayone dusk",1,5
"sour milk <u+fd><u+fd><u+fd>",0,5
"rt life goes on bts btsbe november twt",1,5
"rt bye haters",1,5
"we weren’t even allowed out for most of what kind of fake year <u+fd><u+fd>",0,5
"maybe they dont want to die? covidiot",1,5
"tiga im voting for bts for favorite social artist at the amas twt",1,5
"lab research lab director @vtg lou…",1,5
" ah nice the reality",1,5
"rt little cokehead traitortot jr appeared on fox news last night and confidently stated not once but twice that the corona…",1,5
"no more energy for fighting",0,5
"damn i’m sorry i wish your school took the safety of y’all more seriously",1,5
"throw in some knitting and this sounds like the perfect halloween <u+f>",0,5
"rt cj what’s your top uk twitter moments of this is up dere for me",1,5
"ok im done",0,5
"• have u ever gotten a human sized teddy bear as a present? can i see",0,5
"jove ikr jove really took the win on this one",1,5
"rt fuck it imma say it the obsession with corpse husband has become creepy and not ok",1,5
"hugs you",1,5
"this is what they did with ebola huge fox focus in september to october gone within a few weeks…",1,5
"the hair the you the everything <u+fd><u+fd><u+fd><u+fd>",0,5
"he says it so confidently<u+f><u+f><u+f> trunalimunumaprzure",1,5
"rt only",1,5
"rt if we don’t reign in the power of big tech and social media platforms you can kiss the idea of free speech in america g…",1,5
"rt queer was successfully reclaimed in the s and s and entered into use within academia as a term for anyone whose identi…",1,5
"we gotcha fam <u+a>",1,5
"rt permanent perk upgrades weapon rarities item crafting and more find out about all the new innovations coming to black…",1,5
"rt they’re calling lil wayne coonchi",1,5
"rt happy splatoween everyone d splatfest splatoon nintendoswitch",1,5
"rt i’m voting for exo for favorite social artist at the amas",1,5
"rt <u+fa>twt will be making their tv debut of their new single lifegoeson and perform ""dynamite"" at the amas on nov…",1,5
"damn",1,5
